"TIMESTAMP_START","TIMESTAMP_END","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","T_CANOPY","T_SI111_body","PPFD_IN","VWC_1_1_1","Ka_1_1_1","T_1_1_1","BulkEC_1_1_1","VWC_1_2_1","Ka_1_2_1","T_1_2_1","BulkEC_1_2_1","VWC_1_3_1","Ka_1_3_1","T_1_3_1","BulkEC_1_3_1","VWC_1_4_1","Ka_1_4_1","T_1_4_1","BulkEC_1_4_1","VWC_1_5_1","Ka_1_5_1","T_1_5_1","BulkEC_1_5_1","VWC_1_6_1","Ka_1_6_1","T_1_6_1","BulkEC_1_6_1","VWC_1_7_1","Ka_1_7_1","T_1_7_1","BulkEC_1_7_1","VWC_1_8_1","Ka_1_8_1","T__1_8_1","BulkEC_1_8_1","VWC_1_9_1","Ka_1_9_1","T_1_9_1","BulkEC_1_9_1","WS","WD","LWmV_1_1_1","LWMDry_1_1_1","LWMCon_1_1_1","LWMWet_1_1_1","LWmV_1_1_2","LWMDry_1_1_2","LWMCon_1_1_2","LWMWet_1_1_2"
202504172100,202504172130,0,-1.669139,-2.765972,-1.889389,328.6672,329.4598,3.094167,1.635294,0,0.1623538,8.829663,12.24078,0.043344,0.1567876,8.54137,13.86663,0.0816095,0.208031,11.37615,14.84671,0.1561168,0.2222501,12.23463,14.43768,0.2049934,0.1669323,9.070379,13.86663,0.1399094,0.160697,8.74335,13.63085,0.1309415,0.1478148,8.086718,13.20944,0.0442158,0.0460632,3.800897,12.90747,0,0.1356902,7.492111,12.51553,0.0323698,2.271313,274.6476,606.8491,0,0,100,321.7513,0,0,100
202504172130,202504172200,0,-1.191139,-2.739472,-1.867167,327.2526,327.5715,2.683234,1.587813,0,0.1602658,8.720958,11.74111,0.0429555,0.1594667,8.679533,13.39627,0.0813657,0.2093512,11.45454,14.7019,0.1556114,0.2240607,12.34618,14.41375,0.2039545,0.165059,8.971499,13.89031,0.1391884,0.1576898,8.587776,13.67791,0.1268653,0.1482542,8.108694,13.20944,0.0445428,0.048513,3.885299,12.93063,0,0.1362694,7.519999,12.49258,0.0350936,2.058545,219.4946,569.3166,0,0,100,345.8942,0,0,100
202504172200,202504172230,0,-0.889527,-2.929194,-2.115611,326.0809,326.1569,2.511296,1.351941,0,0.1610399,8.76118,11.29122,0.0459311,0.158951,8.65285,13.00018,0.0838775,0.2071976,11.32681,14.53356,0.1529919,0.2227333,12.26435,14.3659,0.2050935,0.1632889,8.878561,13.89031,0.1376275,0.1559694,8.499396,13.70147,0.1314781,0.1455393,7.973394,13.2561,0.0347818,0.0480345,3.86874,12.93063,0,0.1356262,7.489035,12.49258,0.0282939,1.89189,114.8157,576.0003,0,0,100,387.0212,0,0,100
202504172230,202504172300,0,-0.2946115,-2.812611,-2.08725,325.6133,325.1826,2.384066,1.123826,0,0.1640548,8.918717,10.8453,0.0458824,0.1572626,8.565786,12.60748,0.0849422,0.2090896,11.43899,14.34201,0.1531706,0.2255117,12.43595,14.31814,0.2058358,0.1657242,9.006548,13.91397,0.1369069,0.1556422,8.482639,13.74859,0.1277453,0.1503451,8.213666,13.23275,0.0470707,0.046851,3.827937,12.93063,0,0.1337412,7.39865,12.46963,0.030791,3.147432,102.9872,500.387,0,0,100,359.4494,0,0,100
202504172300,202504172330,0,-5.309943,-2.961333,-2.058917,322.6914,327.0989,2.560344,1.551711,0,0.1643377,8.933569,10.44729,0.0455711,0.1575862,8.58244,12.24078,0.0837123,0.2066843,11.29646,14.15127,0.1518519,0.2218176,12.20805,14.24655,0.2007784,0.1651368,8.975594,13.91397,0.1389948,0.1560316,8.502585,13.725,0.1282166,0.1458234,7.9875,13.27944,0.0384009,0.0464694,3.814825,12.93063,0,0.1360107,7.507535,12.51553,0.0305092,3.94635,104.3704,438.3316,0,0,100,302.2724,0,2.222222,97.77778
202504172330,202504180000,0,-33.29311,-3.003917,-1.907694,296.5868,328.7837,2.670907,1.935753,0.0002306036,0.1628019,8.853076,10.11788,0.0482055,0.1583917,8.623958,11.89953,0.082483,0.2084497,11.40098,13.96133,0.1552023,0.2236284,12.3195,14.17507,0.2036823,0.1661708,9.030118,13.91397,0.1376063,0.1594736,8.679889,13.77218,0.127679,0.1481563,8.103793,13.27944,0.0419582,0.0473987,3.846794,12.93063,0,0.1336427,7.393942,12.49258,0.0269836,2.728973,83.3153,415.212,0,0,100,274.8609,59.72222,40.27778,0
202504180000,202504180030,0,-33.77855,-3.160778,-2.018667,297.2597,329.8962,2.811888,2.392765,0.0004618265,0.1641342,8.922882,9.812286,0.0462625,0.158393,8.62403,11.58319,0.0816121,0.2091575,11.44303,13.77218,0.1534545,0.2220676,12.22341,14.1275,0.2016373,0.1602211,8.718638,13.89031,0.1380222,0.1581683,8.612434,13.7958,0.127819,0.1478098,8.086464,13.30276,0.0448344,0.0505884,3.957526,12.95382,0,0.1373725,7.573255,12.49258,0.0290506,2.71901,95.95461,384.8072,0,0,100,269.3471,100,0,0
202504180030,202504180100,0,-36.15125,-3.260056,-2.166833,295.5118,330.5699,2.851822,2.74487,0.0005705376,0.1663638,9.040318,9.573364,0.0448883,0.1594464,8.67848,11.33602,0.0801333,0.2090764,11.43821,13.58386,0.1523515,0.2224396,12.24628,14.00869,0.2026274,0.1646556,8.950274,13.86663,0.1388364,0.154944,8.446941,13.7958,0.1293069,0.1473858,8.06529,13.30276,0.0414834,0.0492839,3.912048,12.95382,0,0.1334241,7.383498,12.49258,0.0303858,2.523066,96.69258,355.7713,0,0,100,268.1065,100,0,0
202504180100,202504180130,0,-38.54178,-3.362611,-2.433944,293.5558,331.1689,2.92405,2.689832,0.0001627056,0.1680703,9.130718,9.400268,0.0485552,0.1575696,8.581586,11.09005,0.0820442,0.2059426,11.2527,13.39627,0.1484844,0.2253926,12.42857,13.91397,0.2030569,0.1639067,8.910942,13.84301,0.139579,0.1583444,8.621521,13.7958,0.1272321,0.1514338,8.268594,13.32614,0.0260989,0.0489471,3.900352,12.95382,0,0.137208,7.565303,12.51553,0.0344026,2.267885,106.5034,338.5682,0,0,100,267.5798,100,0,0
202504180130,202504180200,0,-44.16222,-3.436778,-2.556778,288.2129,331.4951,2.797399,2.742412,0.0005294594,0.1692577,9.19388,9.22769,0.0477715,0.157952,8.601281,10.86752,0.0832252,0.2077933,11.36207,13.23275,0.1499607,0.2212556,12.17357,13.81942,0.2047901,0.1657354,9.007139,13.81942,0.1381742,0.1537764,8.387406,13.7958,0.1274693,0.1504445,8.218677,13.32614,0.040584,0.0464561,3.814369,12.97698,0,0.1344432,7.432244,12.49258,0.0336178,2.34819,115.133,325.5607,0,0,100,267.7459,100,0,0
202504180200,202504180230,0,-39.45014,-3.384222,-2.607722,293.3541,332.0278,2.881388,2.843938,0.0004056484,0.1651715,8.97742,9.077149,0.0447893,0.1587276,8.641306,10.69015,0.0792676,0.2070061,11.31548,13.06985,0.1478037,0.2220274,12.22094,13.70147,0.2001588,0.1638724,8.909142,13.77218,0.1380374,0.1583397,8.621276,13.7958,0.127313,0.1477038,8.081168,13.34951,0.0441086,0.047639,3.85508,12.97698,0,0.1353399,7.475269,12.49258,0.0347335,2.429256,114.1367,311.1431,0,0,100,267.8174,100,0,0
202504180230,202504180300,0,-39.6085,-2.692055,-1.91675,293.189,332.0222,2.867979,2.967212,9.379114e-05,0.1668909,9.068186,8.927002,0.0486433,0.1586794,8.638817,10.51339,0.0814561,0.2079324,11.37031,12.88433,0.1483991,0.2202387,12.11129,13.60733,0.1993202,0.1631199,8.869714,13.725,0.1397102,0.1560686,8.504479,13.77218,0.1291483,0.1501623,8.204464,13.34951,0.0309117,0.0507754,3.964066,12.97698,0,0.1330186,7.364147,12.51553,0.025863,2.80318,106.7456,289.7297,0,24.16667,75.83334,267.8124,100,0,0
202504180300,202504180330,0,-43.83222,-0.4248889,0.1883055,287.8536,331.0726,2.689902,3.023341,0,0.1697834,9.221914,8.755889,0.0478508,0.1604569,8.730878,10.31527,0.0824913,0.2081468,11.38301,12.74569,0.1479152,0.2241752,12.35326,13.48995,0.1981636,0.1639531,8.913378,13.67791,0.1392677,0.1589746,8.654071,13.77218,0.1265999,0.151431,8.268453,13.34951,0.0415246,0.0491814,3.908488,13.00018,0,0.138621,7.63376,12.49258,0.0355597,2.350585,118.5641,269.9507,90.27778,9.722222,0,267.8033,100,0,0
202504180330,202504180400,0,-55.86958,-0.5399722,0.1785555,274.5975,329.7485,2.332725,2.870346,8.915826e-07,0.1669306,9.070288,8.585234,0.0476142,0.1555481,8.477825,10.18362,0.081734,0.2076021,11.35075,12.58447,0.1498518,0.2216503,12.19779,13.37286,0.2034407,0.1639075,8.910986,13.63085,0.1373802,0.1569017,8.547234,13.74859,0.127053,0.150279,8.210338,13.34951,0.0456706,0.0477755,3.859791,13.00018,0,0.1362608,7.519588,12.51553,0.0327427,2.70039,106.9667,268.6427,100,0,0,267.9595,100,0,0
202504180400,202504180430,0,-53.00375,-0.5439444,0.1135833,277.0269,329.3731,2.23754,2.846395,0,0.1698506,9.225505,8.41513,0.0471374,0.1608938,8.753579,10.00854,0.0821728,0.2057136,11.2392,12.44668,0.14734,0.2228534,12.27174,13.27944,0.198234,0.165366,8.987667,13.56036,0.1362177,0.158857,8.647991,13.74859,0.1271205,0.1509597,8.244656,13.34951,0.0475877,0.0508309,3.96601,12.97698,0,0.1367781,7.544534,12.51553,0.0240686,3.015567,99.30483,268.5132,100,0,0,267.8954,100,0,0
202504180430,202504180500,0,-48.99336,-0.5275278,0.08127778,281.063,329.4476,2.23173,2.923953,0,0.1697084,9.217914,8.224366,0.0439166,0.1592158,8.666544,9.834046,0.0811617,0.2069852,11.31425,12.30932,0.1467841,0.2213727,12.18075,13.18618,0.1998472,0.1621153,8.81721,13.51342,0.1350319,0.1554971,8.475215,13.70147,0.1277358,0.1487319,8.132618,13.34951,0.0402102,0.0512783,3.981685,13.00018,0,0.1351885,7.467995,12.51553,0.0300457,3.072247,94.01771,268.3441,100,0,0,267.767,100,0,0
202504180500,202504180530,0,-50.2843,-0.4040555,0.1011111,279.5308,329.3099,2.145566,3.048719,0.2361521,0.1695683,9.210441,8.03421,0.0468348,0.1558246,8.491978,9.681854,0.0807342,0.2040549,11.14168,12.17233,0.147245,0.2168714,11.90622,13.0931,0.2002649,0.16517,8.977342,13.44308,0.1333651,0.1546675,8.432823,13.70147,0.127297,0.1485545,8.123726,13.34951,0.030569,0.0499363,3.934761,13.0234,0,0.1358724,7.500878,12.51553,0.0313535,3.211842,93.3141,268.121,100,0,0,267.5611,100,0,0
202504180530,202504180600,7.276951,-56.56363,7.535333,1.715139,265.6251,328.009,1.77656,2.939684,17.24472,0.1697562,9.220466,7.886688,0.0477579,0.1550186,8.45075,9.508422,0.0803663,0.2076719,11.35487,12.03576,0.1460477,0.2215849,12.19377,13.00018,0.1985795,0.1627742,8.851632,13.37286,0.1364642,0.1544368,8.421052,13.65438,0.1283244,0.151372,8.265471,13.32614,0.0457891,0.0504865,3.953964,13.00018,0,0.1367772,7.544492,12.51553,0.0354518,2.795178,102.1772,268.1025,100,0,0,267.5584,100,0,0
