"""TIMESTAMP_START""","""TIMESTAMP_END""","""CO2""","""CO2_SIGMA""","""H2O""","""H2O_SIGMA""","""FC""","""FC_SSITC_TEST""","""LE""","""LE_SSITC_TEST""","""ET""","""ET_SSITC_TEST""","""H""","""H_SSITC_TEST""","""G""","""SG""","""FETCH_MAX""","""FETCH_90""","""FETCH_55""","""FETCH_40""","""WD""","""WS""","""WS_MAX""","""USTAR""","""ZL""","""TAU""","""TAU_SSITC_TEST""","""MO_LENGTH""","""U""","""U_SIGMA""","""V""","""V_SIGMA""","""W""","""W_SIGMA""","""PA""","""TA_1_1_1""","""RH_1_1_1""","""T_DP_1_1_1""","""TA_1_1_2""","""RH_1_1_2""","""T_DP_1_1_2""","""TA_1_1_3""","""RH_1_1_3""","""T_DP_1_1_3""","""TA_1_1_4""","""VPD""","""T_SONIC""","""T_SONIC_SIGMA""","""PBLH""","""TS_1_1_1""","""TS_1_1_2""","""SWC_1_1_1""","""SWC_1_1_2""","""ALB""","""NETRAD""","""SW_IN""","""SW_OUT""","""LW_IN""","""LW_OUT""","""P"""
202503110230,202503110300,427.8477,0.7994769,3.455056,0.04002676,0.4666216,7,0.3774339,7,0.0005451898,7,-21.57893,7,-21.31311,-29.34426,42.49485,1891.367,203.1314,120.2212,22.89157,3.006908,4.471666,0.1627235,0.1760809,0.02802297,8,14.7326,2.970409,0.4016833,0,0.472564,-7.450581e-09,0.1392834,84.20051,3.698004,36.13958,-9.953332,4.965374,33.23288,-9.89545,3.689953,38.2549,-9.233802,3.69777,5.842052,5.270482,0.5989232,124.7094,6.120418,6.452799,2.002108,2.993778,0.0,-86.58728,-4.470565,-0.1284248,248.2437,330.4888,0.0
202503110300,202503110330,426.7293,0.8581826,3.478685,0.03044864,-1.722745,8,0.3186071,8,0.0004605286,8,27.31936,8,33.2343,24.66842,50.74837,140.1866,72.17691,54.6254,20.13678,3.923385,6.503072,0.2159244,-0.09548174,0.04920084,7,-27.16886,3.849909,0.5928115,0,0.757895,0.0,0.2050474,84.177,4.609722,34.20667,-9.876318,6.011459,31.22383,-9.812512,4.403967,36.99511,-9.046515,4.569031,6.509174,6.319922,1.307114,1556.623,6.143804,6.270129,1.952427,2.996417,0.0,-87.12091,-3.352868,1.194764,249.912,332.4853,0.0
202503110330,202503110400,427.9522,0.732262,3.482926,0.03632325,-0.03951443,7,1.563622,7,0.002263417,7,-25.90318,7,-10.10529,-18.35768,46.17795,1789.168,208.4595,125.4434,18.75781,3.942434,6.085566,0.1966514,0.1194548,0.04058564,7,21.71642,3.905288,0.565292,0,0.5540448,-1.490116e-08,0.2151538,84.17754,6.040437,30.94184,-9.854072,7.295602,28.53681,-9.797203,5.934321,33.28596,-9.011505,5.910708,7.353582,7.605843,0.8198751,132.3005,6.238338,6.264989,1.932589,2.999389,0.0,-90.81486,-4.30086,0.284534,255.1348,341.3642,0.0
202503110400,202503110430,427.9877,0.4025464,3.574074,0.04936637,0.2089749,7,-0.8042138,8,-0.001163896,8,-18.81593,7,0.6692529,-6.74681,57.21167,2943.634,290.0976,169.034,20.76233,3.174155,5.21985,0.1405124,0.2391563,0.0207401,8,10.84701,3.127391,0.5736768,0,0.5709502,7.450581e-09,0.1550632,84.1923,5.789224,32.27314,-9.530782,7.162344,29.5188,-9.468332,5.715626,34.50202,-8.740866,5.782631,7.179466,7.480478,0.6957656,120.4859,6.079485,6.224537,1.937632,3.001333,0.0,-83.5042,-3.64058,0.4928226,259.6867,339.0575,0.0
202503110430,202503110500,428.3397,0.6422151,3.632188,0.04740847,0.03994986,3,-0.2568038,8,-0.0003712196,8,-31.25815,3,-7.221563,-14.29581,53.97601,156.0393,78.03786,58.93089,37.59848,4.10467,6.429051,0.2272923,0.09375762,0.05451074,4,27.66847,4.024115,0.5966499,0,0.7890349,-7.450581e-09,0.1998315,84.19194,4.453352,36.01139,-9.319441,5.673165,33.23907,-9.263592,4.472571,38.06618,-8.593031,4.396478,6.134234,5.994876,0.5433436,138.7701,6.000907,6.138585,1.942201,3.002805,0.0,-79.28021,-4.174652,-0.4046552,259.9183,335.4285,0.0
202503110500,202503110530,427.7889,0.4281342,3.618757,0.02898892,0.4338011,3,0.6987081,4,0.00101016,4,-31.28425,3,3.436398,-3.678228,46.99025,2095.344,224.7499,133.1228,27.25415,3.696174,5.623985,0.1859178,0.1709727,0.036457,3,15.17278,3.673225,0.5293494,0,0.4178573,0.0,0.1910674,84.206,4.753254,35.1184,-9.368935,6.088173,32.1769,-9.307912,4.6295,37.65558,-8.587475,4.699324,6.411891,6.409171,0.5109971,125.1878,5.959216,6.072884,1.945651,3.004056,0.0,-75.54285,-3.228386,0.5947171,262.9366,334.6564,0.0
202503110530,202503110600,427.9318,0.7030046,3.622034,0.04124414,-0.01910624,8,0.4775378,8,0.0006906573,8,-12.7583,8,-0.8992266,-7.873483,57.05389,2024.09,248.3579,150.8408,26.88263,4.05192,5.787823,0.1695406,0.09187201,0.03028149,6,28.23635,4.015051,0.4767588,0,0.5505664,-7.450581e-09,0.197475,84.2253,5.104182,34.33623,-9.352935,6.397588,31.55682,-9.293878,5.018999,36.7231,-8.56561,5.041363,6.616768,6.719158,0.6841946,139.3873,5.933489,6.010773,1.937401,3.005972,0.0,-76.26182,-3.323703,0.4057074,264.3827,336.9151,0.0
202503110600,202503110630,428.1742,0.5378536,3.635192,0.02148536,0.2879705,7,1.723758,7,0.002493434,7,-24.62568,7,4.90538,-1.781994,51.63008,2238.385,243.9973,145.06,24.24506,3.821948,5.294476,0.1774285,0.1543777,0.03314904,3,16.80379,3.800046,0.4780386,0,0.4115667,7.450581e-09,0.1646587,84.23479,5.30673,33.96371,-9.305246,6.60806,31.21142,-9.245858,5.180359,36.44218,-8.515468,5.218487,6.745745,6.931137,0.6598586,126.9606,5.824216,5.964267,1.871331,2.979167,0.0,-74.0229,-2.838909,0.4068186,266.7863,337.5635,0.0
202503110630,202503110700,428.395,0.9545553,3.668702,0.03107966,0.5422336,7,1.221922,7,0.001765331,7,-17.97205,7,16.73461,10.21068,61.41554,3009.937,305.197,178.8651,35.71057,3.55591,5.650888,0.1461231,0.2018852,0.02259071,3,12.84953,3.506832,0.6809004,0,0.5805943,0.0,0.156352,84.23934,3.849291,38.00027,-9.184466,5.061413,35.06844,-9.128771,3.873643,39.98721,-8.507917,3.833714,5.722136,5.38572,0.6519726,122.6625,5.881101,5.907014,1.87521,2.944972,24.40754,-53.14854,10.38939,2.817032,272.2169,332.9378,0.0
202503110700,202503110730,427.376,0.369982,3.713421,0.03639528,0.4714231,7,3.526958,7,0.005098625,7,-17.60247,7,52.16806,45.68166,50.01125,2131.568,234.811,139.7806,33.27838,3.379351,5.170506,0.1600991,0.149096,0.02705138,3,17.39906,3.35096,0.448661,0,0.4433852,0.0,0.1668542,84.23122,4.575572,36.50908,-9.037306,5.912314,33.43443,-8.975982,4.529062,38.90204,-8.263932,4.644846,6.219067,6.241369,0.5802418,127.6077,6.510504,5.917554,1.878021,2.947805,25.90139,-17.41028,55.90344,14.37737,275.8626,334.799,0.0
